type_id;vendor_name;vendor_name_abbr;name;name_extension;seats;doors;gear;trunk;air_condition;gps;min_age;type;drive;img_file_name;price;loc_name
32;BMW;BMW;2er ;Coupé;4;2;manually;1;1;0;21;Coupé;Combuster;bmw-2er-coupe-2d-blau-2017.png;115.48;Rostock
33;Mercedes-Benz;Mercedes-Benz;SLC;;2;2;manually;NULL;1;1;25;Cabrio;Combuster;mb-slc-cabrio-2d-grau-offen-2016.png;161.98;Rostock
36;BMW;BMW;430/435;Coupé;4;2;automatic;2;1;1;21;Coupé;Combuster;bmw-4er-coupe-2d-silber-2017.png;161.49;Rostock
39;Mercedes-Benz;Mercedes-Benz;C-Klasse;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-c-klasse-cabrio-2d-weiss-2016-offen.png;171.99;Rostock
39;Mercedes-Benz;Mercedes-Benz;C-Klasse;Cabrio;4;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-c-klasse-cabrio-2d-weiss-2016-offen.png;171.99;Rostock
44;Mercedes-Benz;Mercedes-Benz;Vito;Aut.;9;5;automatic;2;1;0;21;Mehrsitzer;Combuster;mb-vito-van-silber-2015.png;198.50;Rostock
45;Audi;Audi;A7;Coupé;4;4;automatic;2;1;1;25;Coupé;Combuster;audi-a7-4d-blau-2019.png;259.49;Rostock
50;Mercedes-Benz;Mercedes-Benz;S500L;;5;4;automatic;1;1;1;25;Limousine;Combuster;mb-s-klasse-4d-schwarz-lang-2017.png;302.50;Rostock
51;Mercedes-Benz;Mercedes-Benz;V-Klasse;;8;5;automatic;3;1;1;25;Mehrsitzer;Combuster;mb-v-klasse-van-grau-2014.png;539.99;Rostock
61;Mercedes-AMG;Mercedes-AMG;S63;Cabriolet;2;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-s-amg-cabrio-2d-weiss-offen-2017.png;899.99;Rostock
