type_id;vendor_name;vendor_name_abbr;name;name_extension;seats;doors;gear;trunk;air_condition;gps;min_age;type;drive;img_file_name;price;loc_name
50;Mercedes-Benz;Mercedes-Benz;S500L;;5;4;automatic;1;1;1;25;Limousine;Combuster;mb-s-klasse-4d-schwarz-lang-2017.png;302.50;Dortmund
55;BMW;BMW;X3M;;5;5;automatic;2;0;1;25;SUV;Combuster;bmw-x3-m40i-5d-schwarz-2019-1.png;285.99;Dortmund
61;Mercedes-AMG;Mercedes-AMG;S63;Cabriolet;2;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-s-amg-cabrio-2d-weiss-offen-2017.png;899.99;Dortmund
63;BMW;BMW;M850;Coupé;4;2;automatic;2;1;1;25;Coupé;Combuster;bmw-850i-coupe-2d-blau-2019.png;826.49;Dortmund
20;Volkswagen;VW;Tiguan;Allspace;5;5;manually;2;1;0;21;SUV;Combuster;vw-tiguan-allspace-5d-grau-2019.png;108.50;Dresden
22;Audi;Audi;A4 Avant;Aut.;5;5;automatic;3;1;0;21;Combi;Combuster;audi-a4-kombi-brown-2016.png;133.00;Dresden
22;Audi;Audi;A4 Avant;Aut.;5;5;automatic;3;1;0;21;Combi;Combuster;audi-a4-kombi-brown-2016.png;133.00;Dresden
27;Mercedes-Benz;Mercedes-Benz;E200;T-Modell;5;5;automatic;3;1;1;21;Combi;Combuster;mb-e-klasse-kombi-silber-2018.png;149.99;Dresden
35;BMW;BMW;X3 20;;5;5;manually;3;1;1;25;SUV;Combuster;bmw-x3-5d-grau-2018.png;152.48;Dresden
36;BMW;BMW;430/435;Coupé;4;2;automatic;2;1;1;21;Coupé;Combuster;bmw-4er-coupe-2d-silber-2017.png;161.49;Dresden
37;BMW;BMW;X4 30;;5;5;automatic;3;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019.png;144.32;Dresden
45;Audi;Audi;A7;Coupé;4;4;automatic;2;1;1;25;Coupé;Combuster;audi-a7-4d-blau-2019.png;259.49;Dresden
49;Maserati;Maserati;Ghibli;;4;4;NULL;1;1;1;25;Limousine;Combuster;maserati-ghibli-4d-grau-2018.png;722.49;Dresden
57;Mercedes-Benz;Mercedes-Benz;G500;;5;5;automatic;2;1;1;25;SUV;Combuster;mb-g-klasse-5d-grau-2018.png;609.00;Dresden
57;Mercedes-Benz;Mercedes-Benz;G500;;5;5;automatic;2;1;1;25;SUV;Combuster;mb-g-klasse-5d-grau-2018.png;609.00;Dresden
59;BMW;BMW;X5M 50D;;5;5;automatic;4;1;1;25;SUV;Combuster;bmw-x3-m40i-5d-schwarz-2019-2.png;279.49;Dresden
3;BMW;BMW;Mini;3-Türer;4;3;manually;2;1;0;18;Limousine;Combuster;mini-one-3d-ivory-2016.png;93.99;Freiburg
6;Skoda;Skoda;Oktavia;Combi;5;5;manually;2;1;0;18;Combi;Combuster;skoda-octavia-kombi-grau-2017.png;110.99;Freiburg
8;BMW;BMW;Mini;Cabrio;4;2;manually;NULL;1;0;21;Cabrio;Combuster;mini-cooper-cabrio-2d-weiss-offen-2018.png;156.99;Freiburg
23;BMW;BMW;M340;;5;5;automatic;2;1;0;25;Limousine;Combuster;bmw-M340i-4d-schwarz-2019.png;177.49;Freiburg
25;Audi;Audi;A3;Cabriolet;4;2;manually;NULL;1;0;21;Cabrio;Combuster;audi-a3-cabrio-rot-offen-2020.png;131.49;Freiburg
30;Volkswagen;VW;Sharan;;7;5;manually;2;1;0;21;Mehrsitzer;Combuster;vw-sharan-van-blau-2016.png;178.49;Freiburg
30;Volkswagen;VW;Sharan;;7;5;manually;2;1;0;21;Mehrsitzer;Combuster;vw-sharan-van-blau-2016.png;178.49;Freiburg
37;BMW;BMW;X4 30;;5;5;automatic;3;1;1;25;SUV;Combuster;bmw-x4-m40i-5d-schwarz-2019.png;144.32;Freiburg
48;Mercedes-Benz;Mercedes-Benz;S350L;;5;4;automatic;2;1;1;25;Limousine;Combuster;mb-s-klasse-4d-schwarz-2017-1.png;269.48;Freiburg
51;Mercedes-Benz;Mercedes-Benz;V-Klasse;;8;5;automatic;3;1;1;25;Mehrsitzer;Combuster;mb-v-klasse-van-grau-2014.png;539.99;Freiburg
58;Range Rover;Range Rover;Sport;;5;5;automatic;2;1;1;25;SUV;Combuster;land-rover-range-rover-sport-5d-silber-2018.png;433.49;Freiburg
61;Mercedes-AMG;Mercedes-AMG;S63;Cabriolet;2;2;automatic;NULL;1;1;25;Cabrio;Combuster;mb-s-amg-cabrio-2d-weiss-offen-2017.png;899.99;Freiburg
62;Mercedes-Benz;Mercedes-Benz;S-Klasse;Cabrio;4;2;automatic;1;1;1;25;Cabrio;Combuster;mb-s-klasse-cabrio-2d-silber-2016.png;552.99;Freiburg
